,Layername,Year,Area [ha],Percentage_of_Switerland
303,RegionalePaerke_ParkPerimeter,1979,0.0,0.0
304,Paerke_ParkKernzone,1980,0.0,0.0
305,NationalparkGraubuenden_nationalpark,1980,16689.978617439483,0.4042625316080776
306,IANB_amphibLaichgebietUndWanderobjekteUnion,1980,0.0,0.0
307,Auengebiete_Auengebiete,1980,0.0,0.0
308,Flachmoore_flachmoor,1980,0.0,0.0
309,Hochmoore_hochmoor,1980,0.0,0.0
310,Trockenwiesenweiden_trockenwiesenweiden,1980,0.0,0.0
311,WasserZugvoegel_wasserzugvogel,1980,0.0,0.0
312,Jagdbanngebiete_jagdbann,1980,0.0,0.0
313,BLN_landschaftnaturdenkmal,1980,171468.46124099268,4.153287180355885
314,Moorlandschaften_moorlandschaft,1980,0.0,0.0
315,Smaragd_smaragd,1980,0.0,0.0
316,Ramsar_ramsar,1980,0.0,0.0
317,Biosphaerenreservate_biosphaerenreservat,1980,0.0,0.0
318,Unesco_unescoWorldNaturalHeritage,1980,0.0,0.0
319,RegionalePaerke_ParkPerimeter,1980,0.0,0.0
320,Paerke_ParkKernzone,1981,0.0,0.0
321,NationalparkGraubuenden_nationalpark,1981,16689.978617439483,0.4042625316080776
322,IANB_amphibLaichgebietUndWanderobjekteUnion,1981,0.0,0.0
323,Auengebiete_Auengebiete,1981,0.0,0.0
324,Flachmoore_flachmoor,1981,0.0,0.0
325,Hochmoore_hochmoor,1981,0.0,0.0
326,Trockenwiesenweiden_trockenwiesenweiden,1981,0.0,0.0
327,WasserZugvoegel_wasserzugvogel,1981,0.0,0.0
328,Jagdbanngebiete_jagdbann,1981,0.0,0.0
329,BLN_landschaftnaturdenkmal,1981,171468.46124099268,4.153287180355885
330,Moorlandschaften_moorlandschaft,1981,0.0,0.0
331,Smaragd_smaragd,1981,0.0,0.0
332,Ramsar_ramsar,1981,0.0,0.0
333,Biosphaerenreservate_biosphaerenreservat,1981,0.0,0.0
334,Unesco_unescoWorldNaturalHeritage,1981,0.0,0.0
335,RegionalePaerke_ParkPerimeter,1981,0.0,0.0
336,Paerke_ParkKernzone,1982,0.0,0.0
337,NationalparkGraubuenden_nationalpark,1982,16689.978617439483,0.4042625316080776
338,IANB_amphibLaichgebietUndWanderobjekteUnion,1982,0.0,0.0
339,Auengebiete_Auengebiete,1982,0.0,0.0
340,Flachmoore_flachmoor,1982,0.0,0.0
341,Hochmoore_hochmoor,1982,0.0,0.0
342,Trockenwiesenweiden_trockenwiesenweiden,1982,0.0,0.0
343,WasserZugvoegel_wasserzugvogel,1982,0.0,0.0
344,Jagdbanngebiete_jagdbann,1982,0.0,0.0
345,BLN_landschaftnaturdenkmal,1982,171468.46124099268,4.153287180355885
346,Moorlandschaften_moorlandschaft,1982,0.0,0.0
347,Smaragd_smaragd,1982,0.0,0.0
348,Ramsar_ramsar,1982,0.0,0.0
349,Biosphaerenreservate_biosphaerenreservat,1982,0.0,0.0
350,Unesco_unescoWorldNaturalHeritage,1982,0.0,0.0
351,RegionalePaerke_ParkPerimeter,1982,0.0,0.0
352,Paerke_ParkKernzone,1983,0.0,0.0
353,NationalparkGraubuenden_nationalpark,1983,16689.978617439483,0.4042625316080776
354,IANB_amphibLaichgebietUndWanderobjekteUnion,1983,0.0,0.0
355,Auengebiete_Auengebiete,1983,0.0,0.0
356,Flachmoore_flachmoor,1983,0.0,0.0
357,Hochmoore_hochmoor,1983,0.0,0.0
358,Trockenwiesenweiden_trockenwiesenweiden,1983,0.0,0.0
359,WasserZugvoegel_wasserzugvogel,1983,0.0,0.0
360,Jagdbanngebiete_jagdbann,1983,0.0,0.0
361,BLN_landschaftnaturdenkmal,1983,534174.8024818912,12.938713878694228
362,Moorlandschaften_moorlandschaft,1983,0.0,0.0
363,Smaragd_smaragd,1983,0.0,0.0
364,Ramsar_ramsar,1983,0.0,0.0
365,Biosphaerenreservate_biosphaerenreservat,1983,0.0,0.0
366,Unesco_unescoWorldNaturalHeritage,1983,0.0,0.0
367,RegionalePaerke_ParkPerimeter,1983,0.0,0.0
368,Paerke_ParkKernzone,1984,0.0,0.0
369,NationalparkGraubuenden_nationalpark,1984,16689.978617439483,0.4042625316080776
370,IANB_amphibLaichgebietUndWanderobjekteUnion,1984,0.0,0.0
371,Auengebiete_Auengebiete,1984,0.0,0.0
372,Flachmoore_flachmoor,1984,0.0,0.0
373,Hochmoore_hochmoor,1984,0.0,0.0
374,Trockenwiesenweiden_trockenwiesenweiden,1984,0.0,0.0
375,WasserZugvoegel_wasserzugvogel,1984,0.0,0.0
376,Jagdbanngebiete_jagdbann,1984,0.0,0.0
377,BLN_landschaftnaturdenkmal,1984,534174.8024818912,12.938713878694228
378,Moorlandschaften_moorlandschaft,1984,0.0,0.0
379,Smaragd_smaragd,1984,0.0,0.0
380,Ramsar_ramsar,1984,0.0,0.0
381,Biosphaerenreservate_biosphaerenreservat,1984,0.0,0.0
382,Unesco_unescoWorldNaturalHeritage,1984,0.0,0.0
383,RegionalePaerke_ParkPerimeter,1984,0.0,0.0
384,Paerke_ParkKernzone,1985,0.0,0.0
385,NationalparkGraubuenden_nationalpark,1985,16689.978617439483,0.4042625316080776
386,IANB_amphibLaichgebietUndWanderobjekteUnion,1985,0.0,0.0
387,Auengebiete_Auengebiete,1985,0.0,0.0
388,Flachmoore_flachmoor,1985,0.0,0.0
389,Hochmoore_hochmoor,1985,0.0,0.0
390,Trockenwiesenweiden_trockenwiesenweiden,1985,0.0,0.0
391,WasserZugvoegel_wasserzugvogel,1985,0.0,0.0
392,Jagdbanngebiete_jagdbann,1985,0.0,0.0
393,BLN_landschaftnaturdenkmal,1985,534174.8024818912,12.938713878694228
394,Moorlandschaften_moorlandschaft,1985,0.0,0.0
395,Smaragd_smaragd,1985,0.0,0.0
396,Ramsar_ramsar,1985,0.0,0.0
397,Biosphaerenreservate_biosphaerenreservat,1985,0.0,0.0
398,Unesco_unescoWorldNaturalHeritage,1985,0.0,0.0
399,RegionalePaerke_ParkPerimeter,1985,0.0,0.0
400,Paerke_ParkKernzone,1986,0.0,0.0
401,NationalparkGraubuenden_nationalpark,1986,16689.978617439483,0.4042625316080776
402,IANB_amphibLaichgebietUndWanderobjekteUnion,1986,0.0,0.0
403,Auengebiete_Auengebiete,1986,0.0,0.0
404,Flachmoore_flachmoor,1986,0.0,0.0
405,Hochmoore_hochmoor,1986,0.0,0.0
406,Trockenwiesenweiden_trockenwiesenweiden,1986,0.0,0.0
407,WasserZugvoegel_wasserzugvogel,1986,0.0,0.0
408,Jagdbanngebiete_jagdbann,1986,0.0,0.0
409,BLN_landschaftnaturdenkmal,1986,534174.8024818912,12.938713878694228
410,Moorlandschaften_moorlandschaft,1986,0.0,0.0
411,Smaragd_smaragd,1986,0.0,0.0
412,Ramsar_ramsar,1986,0.0,0.0
413,Biosphaerenreservate_biosphaerenreservat,1986,0.0,0.0
414,Unesco_unescoWorldNaturalHeritage,1986,0.0,0.0
415,RegionalePaerke_ParkPerimeter,1986,0.0,0.0
416,Paerke_ParkKernzone,1987,0.0,0.0
417,NationalparkGraubuenden_nationalpark,1987,16689.978617439483,0.4042625316080776
418,IANB_amphibLaichgebietUndWanderobjekteUnion,1987,0.0,0.0
419,Auengebiete_Auengebiete,1987,0.0,0.0
420,Flachmoore_flachmoor,1987,0.0,0.0
421,Hochmoore_hochmoor,1987,0.0,0.0
422,Trockenwiesenweiden_trockenwiesenweiden,1987,0.0,0.0
423,WasserZugvoegel_wasserzugvogel,1987,0.0,0.0
424,Jagdbanngebiete_jagdbann,1987,0.0,0.0
425,BLN_landschaftnaturdenkmal,1987,534174.8024818912,12.938713878694228
426,Moorlandschaften_moorlandschaft,1987,0.0,0.0
427,Smaragd_smaragd,1987,0.0,0.0
428,Ramsar_ramsar,1987,0.0,0.0
429,Biosphaerenreservate_biosphaerenreservat,1987,0.0,0.0
430,Unesco_unescoWorldNaturalHeritage,1987,0.0,0.0
431,RegionalePaerke_ParkPerimeter,1987,0.0,0.0
432,Paerke_ParkKernzone,1988,0.0,0.0
433,NationalparkGraubuenden_nationalpark,1988,16689.978617439483,0.4042625316080776
434,IANB_amphibLaichgebietUndWanderobjekteUnion,1988,0.0,0.0
435,Auengebiete_Auengebiete,1988,0.0,0.0
436,Flachmoore_flachmoor,1988,0.0,0.0
437,Hochmoore_hochmoor,1988,0.0,0.0
438,Trockenwiesenweiden_trockenwiesenweiden,1988,0.0,0.0
439,WasserZugvoegel_wasserzugvogel,1988,0.0,0.0
440,Jagdbanngebiete_jagdbann,1988,0.0,0.0
441,BLN_landschaftnaturdenkmal,1988,534174.8024818912,12.938713878694228
442,Moorlandschaften_moorlandschaft,1988,0.0,0.0
443,Smaragd_smaragd,1988,0.0,0.0
444,Ramsar_ramsar,1988,0.0,0.0
445,Biosphaerenreservate_biosphaerenreservat,1988,0.0,0.0
446,Unesco_unescoWorldNaturalHeritage,1988,0.0,0.0
447,RegionalePaerke_ParkPerimeter,1988,0.0,0.0
448,Paerke_ParkKernzone,1989,0.0,0.0
449,NationalparkGraubuenden_nationalpark,1989,16689.978617439483,0.4042625316080776
450,IANB_amphibLaichgebietUndWanderobjekteUnion,1989,0.0,0.0
451,Auengebiete_Auengebiete,1989,0.0,0.0
